,device_id,datetime,address_ip,address_port,original_message_id,status,lat,lat_dir,lon,lon_dir,spd_over_grnd,true_course,datestamp,mag_variation,mag_var_dir
177,0001,2019-02-13 13:11:32,172.19.0.11,4007,1550067092915-0,A,51.3183075,N,4.315721833333333,E,0.0,27.44,150218,0.8,E
178,0001,2019-02-13 14:11:58,172.19.0.17,4007,1550070718462-0,A,51.3183075,N,4.315721833333333,E,0.0,27.44,150218,0.8,E
179,0001,2019-02-13 14:23:00,172.19.0.16,4007,1550071380313-0,A,51.3183075,N,4.315721833333333,E,0.0,27.44,150218,0.8,E
180,0001,2019-02-13 14:45:04,172.19.0.16,4007,1550072704219-0,A,51.3183075,N,4.315721833333333,E,0.0,27.44,150218,0.8,E
181,0001,2019-02-13 14:23:00,172.19.0.16,4007,1550071380845-0,A,51.3183075,N,4.315722,E,0.0,28.68,150218,0.8,E
182,0001,2019-02-13 14:11:58,172.19.0.17,4007,1550070718985-0,A,51.3183075,N,4.315722,E,0.0,28.68,150218,0.8,E
183,0001,2019-02-13 13:11:33,172.19.0.11,4007,1550067093443-1,A,51.3183075,N,4.315722,E,0.0,28.68,150218,0.8,E
184,0001,2019-02-13 14:11:59,172.19.0.17,4007,1550070719571-0,A,51.3183075,N,4.315722,E,0.0,27.93,150218,0.8,E
185,0001,2019-02-13 14:23:01,172.19.0.16,4007,1550071381426-0,A,51.3183075,N,4.315722,E,0.0,27.93,150218,0.8,E
186,0001,2019-02-13 13:11:34,172.19.0.11,4007,1550067094024-0,A,51.3183075,N,4.315722,E,0.0,27.93,150218,0.8,E
187,0001,2019-02-13 14:45:05,172.19.0.16,4007,1550072705329-0,A,51.3183075,N,4.315722,E,0.0,27.93,150218,0.8,E
188,0001,2019-02-13 13:11:34,172.19.0.11,4007,1550067094432-0,A,51.3183075,N,4.315722,E,0.0,27.58,150218,0.8,E
189,0001,2019-02-13 14:11:59,172.19.0.17,4007,1550070719978-1,A,51.3183075,N,4.315722,E,0.0,27.58,150218,0.8,E
190,0001,2019-02-13 14:45:05,172.19.0.16,4007,1550072705737-1,A,51.3183075,N,4.315722,E,0.0,27.58,150218,0.8,E
191,0001,2019-02-13 14:12:00,172.19.0.17,4007,1550070720572-0,A,51.3183075,N,4.315722,E,0.0,26.98,150218,0.8,E
192,0001,2019-02-13 13:11:35,172.19.0.11,4007,1550067095025-0,A,51.3183075,N,4.315722,E,0.0,26.98,150218,0.8,E
193,0001,2019-02-13 14:45:06,172.19.0.16,4007,1550072706328-0,A,51.3183075,N,4.315722,E,0.0,26.98,150218,0.8,E
194,0001,2019-02-13 14:12:01,172.19.0.17,4007,1550070721556-1,A,51.31830733333334,N,4.315722,E,0.0,30.74,150218,0.8,E
195,0001,2019-02-13 13:11:36,172.19.0.11,4007,1550067096013-0,A,51.31830733333334,N,4.315722,E,0.0,30.74,150218,0.8,E
196,0001,2019-02-13 14:45:07,172.19.0.16,4007,1550072707317-0,A,51.31830733333334,N,4.315722,E,0.0,30.74,150218,0.8,E
197,0001,2019-02-13 13:11:36,172.19.0.11,4007,1550067096514-0,A,51.31830733333334,N,4.315722166666666,E,0.0,34.43,150218,0.8,E
198,0001,2019-02-13 14:12:02,172.19.0.17,4007,1550070722062-0,A,51.31830733333334,N,4.315722166666666,E,0.0,34.43,150218,0.8,E
199,0001,2019-02-13 13:11:36,172.19.0.11,4007,1550067096923-0,A,51.31830733333334,N,4.315722166666666,E,0.0,47.42,150218,0.8,E
200,0001,2019-02-13 14:12:02,172.19.0.17,4007,1550070722470-0,A,51.31830733333334,N,4.315722166666666,E,0.0,47.42,150218,0.8,E
201,0001,2019-02-13 14:23:04,172.19.0.16,4007,1550071384324-0,A,51.31830733333334,N,4.315722166666666,E,0.0,47.42,150218,0.8,E
202,0001,2019-02-13 14:45:08,172.19.0.16,4007,1550072708226-0,A,51.31830733333334,N,4.315722166666666,E,0.0,47.42,150218,0.8,E
203,0001,2019-02-13 14:12:02,172.19.0.17,4007,1550070722984-0,A,51.31830733333334,N,4.315722166666666,E,0.0,37.95,150218,0.8,E
204,0001,2019-02-13 14:23:04,172.19.0.16,4007,1550071384839-0,A,51.31830733333334,N,4.315722166666666,E,0.0,37.95,150218,0.8,E
205,0001,2019-02-13 14:45:08,172.19.0.16,4007,1550072708739-0,A,51.31830733333334,N,4.315722166666666,E,0.0,37.95,150218,0.8,E
206,0001,2019-02-13 14:23:05,172.19.0.16,4007,1550071385307-0,A,51.31830733333334,N,4.315722166666666,E,0.0,43.62,150218,0.8,E
207,0001,2019-02-13 14:12:03,172.19.0.17,4007,1550070723454-0,A,51.31830733333334,N,4.315722166666666,E,0.0,43.62,150218,0.8,E
208,0001,2019-02-13 14:45:09,172.19.0.16,4007,1550072709211-0,A,51.31830733333334,N,4.315722166666666,E,0.0,43.62,150218,0.8,E
209,0001,2019-02-13 14:12:04,172.19.0.17,4007,1550070724050-0,A,51.31830733333334,N,4.315722333333333,E,0.0,40.05,150218,0.8,E
210,0001,2019-02-13 14:45:09,172.19.0.16,4007,1550072709809-0,A,51.31830733333334,N,4.315722333333333,E,0.0,40.05,150218,0.8,E
211,0001,2019-02-13 14:12:08,172.19.0.17,4007,1550070728478-0,A,51.31830733333334,N,4.3157225,E,0.0,51.97,150218,0.8,E
212,0001,2019-02-13 14:23:10,172.19.0.16,4007,1550071390331-0,A,51.31830733333334,N,4.3157225,E,0.0,51.97,150218,0.8,E
213,0001,2019-02-13 14:45:14,172.19.0.16,4007,1550072714233-0,A,51.31830733333334,N,4.3157225,E,0.0,51.97,150218,0.8,E
214,0001,2019-02-13 14:34:12,172.19.0.16,4007,1550072052785-0,A,51.31830733333334,N,4.3157225,E,0.0,52.57,150218,0.8,E
215,0001,2019-02-13 14:23:10,172.19.0.16,4007,1550071390846-0,A,51.31830733333334,N,4.3157225,E,0.0,52.57,150218,0.8,E
216,0001,2019-02-13 14:12:08,172.19.0.17,4007,1550070728989-0,A,51.31830733333334,N,4.3157225,E,0.0,52.57,150218,0.8,E
217,0001,2019-02-13 14:45:14,172.19.0.16,4007,1550072714744-0,A,51.31830733333334,N,4.3157225,E,0.0,52.57,150218,0.8,E
